Local;Tipo;Cama;Preço_por_noite;Avaliação;Quantidade_de_avaliações
Apartamento em João Pessoa;Studio a beira-mar em Manaíra;3 camas;195,00;5;-5,00
Apartamento em Tambaú;Lindo Flat na orla da praia de Tambaú.;1 cama de casal;132,00;4,44;-274,00
Apartamento em Manaíra;Uno Flats 201 - Comodidade, luxo e lazer;2 camas;188,00;4,89;-244,00
Apartamento em João Pessoa;Apartamento moderno e confortável no Caribessa;1 cama queen;173,00;4,87;-91,00
Apartamento em Cabo Branco;FLAT confortável à beira-mar da praia Cabo Branco;2 camas;146,00;4,58;-146,00
Apartamento em Loteamento Bela Vista;Flat Beira Mar de Intermares - 306;1 cama queen;162,00;4,89;-141,00
Apartamento em Manaíra;Manaíra -  Conforto e ótima localização!;1 cama de casal;149,00;4,93;-46,00
Apartamento em João Pessoa;APARTAMENTO 03 AGRADÁVEL, CHARMOSO NA BEIRA-MAR!;2 camas;231,00;4,93;-70,00
Apartamento em João Pessoa;Apartamento em Flat frente à Praia de Cabo Branco;2 camas;147,00;4,75;-175,00
Apartamento em Manaíra;Flat Luxo completo+vista incrível+Internet rápida;1 cama;153,00;4,66;-32,00
Apartamento em Cabo Branco;Flat à beira-mar 216 Infinity At The Sea por Julio;1 cama queen;318,00;4,91;-82,00
Apartamento em Cabo Branco;Flat Praia Cabo Branco;1 cama de casal;109,00;4,56;-116,00
Apartamento em Intermares;Flat mobiliado na Praia ,João pessoa / Cabedelo PB;2 camas;103,00;4,6;-175,00
Apartamento em João Pessoa;Israel Flat Tambaú;1 cama;154,00;Novo;
Apartamento em Manaíra;Uno Flats 201 - Comodidade, luxo e lazer;2 camas;188,00;4,89;-244,00
Apartamento em Cabo Branco;Flat Praia Cabo Branco;1 cama de casal;109,00;4,56;-116,00
Apartamento em João Pessoa;Israel Flat Tambaú;1 cama;154,00;Novo;
Apartamento em Cabo Branco;Flat à beira-mar 216 Infinity At The Sea por Julio;1 cama queen;318,00;4,91;-82,00
Apartamento em Manaíra;Uno Flats #11 - luxo pertinho da praia;2 camas;151,00;4,9;-156,00
Apartamento em Cabo Branco;Flat com piscina em localização privilegiada em JP;2 camas;175,00;4,87;-30,00
Apartamento em Cabo Branco;Flat NOVO  à beira mar - Orla de Cabo Branco;1 cama queen;208,00;4,97;-61,00
Apartamento em Cabo Branco;FLAT confortável à beira-mar da praia Cabo Branco;2 camas;146,00;4,58;-146,00
Apartamento em Bessa;Apt super aconchegante e charmoso a 200m da praia;4 camas de casal;145,00;4,93;-67,00
Quarto inteiro em Manaíra;(03) Quarto com copa e acesso independente;1 cama de solteiro;65,00;4,83;-120,00
Apartamento em Manaíra;Uno Flat em Manaíra;1 cama queen;139,00;4,89;-112,00
Quarto inteiro em Loteamento Bela Vista;Apartamento tipo flat a 30mts do mar;1 cama de casal;154,00;4,89;-122,00
Apartamento em Cabo Branco;Flat a beira mar;2 camas;154,00;4,78;-41,00
Apartamento em Bancários;Confortável e econômico! (com ar condicionado);3 camas;97,00;4,36;-55,00
Apartamento em Tambaú;Novo, completo e Luxuoso! Viagem de IDA #01;2 camas;213,00;4,97;-36,00
Apartamento em Loteamento Bela Vista;Apto Praia do Bessa Terréo com Transfer;1 cama;114,00;4,86;-22,00
Condomínio em Cabo Branco;Frente à  Praia em Cabo Branco;5 camas;237,00;5;-24,00
Apartamento em Cabo Branco;Flat Show- Novo e lindo! No melhor do Cabo Branco;2 camas;183,00;4,96;-171,00
Quarto inteiro em Jardim Oceania;Quarto aconchegante;1 cama de casal;52,00;4,83;-18,00
Apartamento em Manaíra;Espetacular flat de frente para o mar com Piscina!;2 camas;190,00;4,9;-58,00
Quarto inteiro em João Pessoa;Suíte a 1 Minuto da Praia de Manaíra;1 cama de casal;114,00;4,69;-32,00
